method	superstring	mask
eulertigs	10086048	346146
greedy-maxone	6651902	305278
greedy-minone	6651902	346150
greedy-minrun	6651902	276562
joint-128	8405640	18725
joint-1	6657903	265477
joint-16	7420267	61049
joint-256	8444213	17667
joint-2	6711036	200207
joint-32	8056090	29462
joint-4	6827584	138551
joint-512	8466688	16980
joint-64	8342921	20632
joint-8	7003591	101127
kmer_count	-1	5240017
lowerbound_length	6651879	-1
lowerbound_matchtig_count	-1	16497
matchtigs	8057506	67670
simplitigs	10086146	346153
unitigs	23834734	1328195
