method	superstring	mask
eulertigs	14359547	157942
greedy-maxone	11969688	82855
greedy-minone	11969688	157961
greedy-minrun	11969688	82720
joint-1	11970424	80997
joint-128	14216466	23249
joint-16	12103465	63113
joint-2	11972322	79078
joint-256	15886880	13972
joint-32	12400904	50336
joint-4	11980240	76165
joint-512	17980871	8152
joint-64	13055955	36044
joint-8	12008433	71267
kmer_count	-1	9621316
lowerbound_length	11968858	-1
lowerbound_matchtig_count	-1	89
matchtigs	12812401	64948
simplitigs	14360057	157959
unitigs	24099767	482616
